"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.001218800E-2,-2.057827473E0,-3.589234054E-1,8.188239098E0,8.450487527E0
1.238765700E-2,2.177468538E0,-2.349751949E0,1.250489140E1,1.290871846E1
1.476380300E-2,-5.599204898E-1,-4.211367965E-1,6.575476646E0,6.612696899E0
1.713937600E-2,2.679961324E-1,-1.914258122E0,1.391665649E1,1.405025032E1
1.951500100E-2,5.359922647E-1,-7.657032609E-1,6.259624004E0,6.329019029E0
2.189062600E-2,-1.249053478E0,-1.426122308E0,1.306959724E1,1.320637466E1
2.426625100E-2,2.033899307E0,-1.301695466E0,8.126026154E0,8.477231773E0
2.664187600E-2,-1.909472466E0,-9.379864931E-1,1.092562866E1,1.113082501E1
2.901750100E-2,2.258824587E0,-1.651047587E0,9.753145218E0,1.014653085E1
3.139312600E-2,-2.277967215E0,-3.014956415E-1,8.561519623E0,8.864516485E0
3.376875100E-2,2.177468538E0,-2.277967215E0,1.223210907E1,1.263150807E1
3.614432300E-2,-1.239482164E0,-1.483550072E-1,6.800402164E0,6.914028843E0
3.851994800E-2,2.297109663E-1,-1.794616938E0,1.383530045E1,1.395309842E1
4.089552100E-2,8.614161611E-2,-7.082754970E-1,6.202196121E0,6.243101095E0
4.327119800E-2,-1.009771109E0,-1.497906923E0,1.321795273E1,1.334082596E1
4.564682300E-2,1.718046665E0,-1.143769264E0,7.752745152E0,8.022776942E0
4.802244800E-2,-2.014756680E0,-9.714859724E-1,1.111226845E1,1.133514621E1
5.039807300E-2,2.230110645E0,-1.550549030E0,9.245866776E0,9.636578657E0
5.277369800E-2,-2.172683001E0,-3.924229145E-1,9.040083885E0,9.305786577E0
5.514921900E-2,2.378465652E0,-2.187039852E0,1.196411324E1,1.239274980E1
5.752489600E-2,-1.579262972E0,-1.244267747E-1,6.972685337E0,7.150377218E0
5.990052100E-2,5.216353536E-1,-1.856830359E0,1.373001671E1,1.386482172E1
6.227614600E-2,9.571290761E-2,-7.178468108E-1,6.139982700E0,6.182544182E0
6.465177100E-2,-3.972085714E-1,-1.430907965E0,1.347159195E1,1.355319379E1
6.702739600E-2,1.579262972E0,-1.201196909E0,7.010970116E0,7.286332926E0
6.940302100E-2,-1.775474429E0,-8.279166222E-1,1.150469112E1,1.167029020E1
7.177864600E-2,2.565105915E0,-1.598405480E0,8.953942299E0,9.450277833E0
7.415421900E-2,-1.861616015E0,-3.972085714E-1,9.643074989E0,9.829154800E0
7.652984400E-2,2.545963287E0,-2.129612207E0,1.148076344E1,1.195094583E1
7.890546900E-2,-1.708475351E0,-3.828516230E-2,7.355536938E0,7.551442076E0
8.128109400E-2,1.004985452E0,-1.952543259E0,1.343330669E1,1.361161819E1
8.365671900E-2,1.196411327E-1,-6.747759581E-1,6.379265308E0,6.415969332E0
8.603234400E-2,-1.052841991E-1,-1.411765337E0,1.336152172E1,1.343631009E1
8.840796900E-2,1.426122308E0,-1.153340459E0,6.666403770E0,6.914112979E0
9.078354200E-2,-1.564906001E0,-8.709874153E-1,1.183011532E1,1.196491447E1
9.315916700E-2,2.708675146E0,-1.622333765E0,8.676374435E0,9.233003912E0
9.553479200E-2,-1.880758643E0,-2.967100143E-1,1.013599682E1,1.031327889E1
9.791041700E-2,2.483749866E0,-2.091326952E0,1.102612686E1,1.149426533E1
1.002860420E-1,-1.928615093E0,9.571290575E-3,7.609176159E0,7.849790418E0
1.026616670E-1,1.349551916E0,-2.134397745E0,1.339502144E1,1.363097735E1
1.050372920E-1,-1.196411327E-1,-5.982056856E-1,6.240481377E0,6.270229011E0
1.074129170E-1,-2.727817893E-1,-1.445264935E0,1.338544941E1,1.346601116E1
1.097885420E-1,1.191625714E0,-1.062413216E0,6.331408501E0,6.529580943E0
1.121641150E-1,-1.440479279E0,-1.004985452E0,1.229432297E1,1.241915269E1
1.145397400E-1,2.641676188E0,-1.512263894E0,8.484949112E0,9.014419371E0
1.169153650E-1,-2.273181438E0,-3.876372576E-1,1.028435135E1,1.053971058E1
1.192909900E-1,2.354537487E0,-1.847259045E0,1.089212894E1,1.129578177E1
1.216666150E-1,-2.163111687E0,-2.392822653E-1,7.695317745E0,7.997138449E0
1.240422400E-1,1.617548108E0,-2.014756680E0,1.342373466E1,1.367012651E1
1.264178650E-1,-5.359922647E-1,-6.221339107E-1,5.967699528E0,6.023933596E0
1.287934380E-1,-2.057827413E-1,-1.368694544E0,1.337587833E1,1.344729685E1
1.311690630E-1,9.714859724E-1,-9.762716293E-1,6.101697922E0,6.255206537E0
1.335446880E-1,-1.306481123E0,-1.153340459E0,1.266760349E1,1.278691774E1
1.359203130E-1,2.522035122E0,-1.272981644E0,8.178668022E0,8.652846586E0
1.382959380E-1,-2.493321180E0,-4.163511395E-1,1.056670475E1,1.086486300E1
