"event","experiment time","system time","system time text"
"START",0.000000000E0,1771950895.051,"2026-02-24 17:34:55.051 UTC+01:00"
"PAUSE",3.001350775E1,1771950925.064,"2026-02-24 17:35:25.064 UTC+01:00"
