"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.650592000E-3,4.278367043E0,1.196411327E-1,1.078684425E1,1.160494496E1
1.102606000E-2,-4.441078663E0,1.052841991E-1,8.154739380E0,9.286228449E0
1.340152900E-2,1.804188251E0,-1.052841991E-1,1.205025482E1,1.218502447E1
1.577731000E-2,2.225325108E0,-4.307080805E-2,8.752944946E0,9.031498888E0
1.815283100E-2,-5.120640278E0,5.216353536E-1,9.982855797E0,1.123167263E1
2.052835200E-2,4.532006264E0,-1.770688742E-1,1.107876873E1,1.197119671E1
2.290387300E-2,-3.909872293E0,4.689932466E-1,8.207381248E0,9.103195207E0
2.527939400E-2,1.392622828E0,-4.785645287E-3,1.172961617E1,1.181199884E1
2.765491400E-2,1.473978758E0,-9.092725813E-2,8.772088051E0,8.895527523E0
3.003043500E-2,-4.962714195E0,4.642075896E-1,1.019342422E1,1.134680212E1
3.240590400E-2,5.192425251E0,-2.009970993E-1,1.106441212E1,1.222386581E1
3.478142500E-2,-4.512863636E0,7.369893789E-1,8.015955925E0,9.228469046E0
3.715694600E-2,1.158126116E0,1.579262912E-1,1.159561825E1,1.165437941E1
3.953241400E-2,1.062413216E0,-2.009970993E-1,8.714659691E0,8.781481379E0
4.190798700E-2,-4.235296249E0,3.732803464E-1,1.065763187E1,1.147441457E1
4.428350800E-2,5.101497650E0,-1.435693540E-2,1.053799057E1,1.170789177E1
4.665902900E-2,-5.015356064E0,8.614161611E-1,8.039883614E0,9.515017749E0
4.903449800E-2,1.009771109E0,-3.254238665E-1,1.160040379E1,1.164881566E1
5.141007100E-2,1.421336651E0,-2.344966233E-1,9.030512810E0,9.144689615E0
5.378559200E-2,-3.881158352E0,7.465606928E-1,1.060499001E1,1.131753313E1
5.616111200E-2,4.608576298E0,2.775674164E-1,1.004506969E1,1.105529033E1
5.853663300E-2,-5.426921844E0,9.332008362E-1,8.087740898E0,9.784370053E0
6.091215400E-2,1.789831281E0,-7.752745152E-1,1.172004509E1,1.188124587E1
6.328767500E-2,1.622333765E0,-5.264209956E-2,9.107083321E0,9.250605637E0
6.566319600E-2,-3.938585997E0,7.274180651E-1,1.036570740E1,1.111258235E1
6.803871700E-2,4.402793884E0,3.014956415E-1,1.001635551E1,1.094544980E1
7.041423700E-2,-5.350351334E0,6.891329288E-1,8.212167740E0,9.825520982E0
7.278975800E-2,2.679961443E0,-5.599204898E-1,1.201196957E1,1.232002911E1
7.516527900E-2,1.119840980E0,4.307080805E-2,8.662017822E0,8.734211565E0
7.754080000E-2,-4.005585194E0,8.039883971E-1,1.051406288E1,1.127992147E1
7.991632100E-2,4.354937077E0,-4.785645381E-2,1.002114105E1,1.092662048E1
8.229184200E-2,-4.632504463E0,3.924229145E-1,8.652446747E0,9.822368760E0
8.466736200E-2,2.837887764E0,-9.571290575E-3,1.195932770E1,1.229142862E1
8.704288300E-2,4.977070987E-1,1.866401732E-1,8.288737297E0,8.305763835E0
8.941835200E-2,-4.316651821E0,1.052841991E-1,1.030827999E1,1.117609968E1
9.179387300E-2,5.211567879E0,-2.297109663E-1,1.066720295E1,1.187444422E1
9.416939400E-2,-4.704289436E0,8.805587292E-1,8.317451477E0,9.596130567E0
9.654491400E-2,2.526820660E0,3.493520916E-1,1.173440266E1,1.200845849E1
9.892043500E-2,-3.541377485E-1,-1.100698411E-1,8.327022552E0,8.335276450E0
1.012959560E-1,-3.704089403E0,-4.307080805E-2,1.049970531E1,1.113399951E1
1.036714770E-1,5.283352375E0,-3.349951655E-2,1.075334454E1,1.198120834E1
1.060469980E-1,-5.130211830E0,9.188438654E-1,8.044670105E0,9.585408941E0
1.084225190E-1,2.148754835E0,4.259224236E-1,1.202632618E1,1.222420053E1
1.107980390E-1,-4.307080805E-1,-1.962114573E-1,8.283951759E0,8.297461367E0
1.131735600E-1,-3.177668571E0,1.196411327E-1,1.055713367E1,1.102565023E1
1.155490810E-1,4.867001057E0,-1.914258115E-2,1.039442158E1,1.147745902E1
1.179246020E-1,-5.670989513E0,9.092726111E-1,8.154739380E0,9.974300632E0
1.203001230E-1,2.263610125E0,-2.967100143E-1,1.207418346E1,1.228811922E1
1.226756440E-1,7.657032460E-2,-1.339980662E-1,8.743373871E0,8.744735853E0
1.250511640E-1,-3.235096216E0,6.077769399E-1,1.071027374E1,1.120469562E1
1.274266850E-1,4.163511276E0,7.178468257E-2,9.824930191E0,1.067095274E1
1.298022060E-1,-5.771488190E0,4.163511395E-1,8.465806961E0,1.025442888E1
1.321777270E-1,3.259024382E0,-2.919243574E-1,1.246660614E1,1.288886063E1
1.345532480E-1,-2.488535494E-1,1.866401732E-1,8.188239098E0,8.194145603E0
1.369287690E-1,-3.637090445E0,3.445664644E-1,1.057627583E1,1.118949343E1
1.393042890E-1,4.187439442E0,-2.967100143E-1,1.007856941E1,1.091788658E1
1.416798100E-1,-5.139782906E0,4.019941986E-1,8.839086533E0,1.023271315E1
1.440553310E-1,3.574877024E0,-9.092725813E-2,1.218903828E1,1.270278188E1
1.464308520E-1,-9.571290612E-1,2.679961324E-1,8.130811691E0,8.191337908E0
1.488063210E-1,-3.589233875E0,2.871387079E-2,1.069113159E1,1.127757594E1
1.511818420E-1,4.828716278E0,-4.498506486E-1,1.023170948E1,1.132284175E1
1.535573620E-1,-4.723432064E0,7.465606928E-1,8.886942863E0,1.009187380E1
1.559328830E-1,3.412165165E0,-3.349951655E-2,1.191625690E1,1.239520762E1
