"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.469500000E-3,1.751546144E0,-3.876372576E-1,6.690331936E0,6.926667160E0
1.084496900E-2,-1.531406522E0,-4.307080805E-1,1.199761295E1,1.210262087E1
1.322043700E-2,3.038884640E0,-9.571290612E-1,8.882157326E0,9.436293481E0
1.559642700E-2,-2.124826431E0,3.302095234E-1,9.820143700E0,1.005281791E1
1.797200000E-2,2.383251429E0,-1.478764415E0,1.143769264E1,1.177656336E1
2.034762500E-2,-1.406979680E0,2.919243574E-1,7.408178806E0,7.546252373E0
2.272319800E-2,7.992027402E-1,-1.339980721E0,1.349073410E1,1.358065462E1
2.509877100E-2,5.216353536E-1,-1.770688742E-1,6.350551128E0,6.374398518E0
2.747439600E-2,-9.906286001E-1,-7.561319470E-1,1.281595802E1,1.287640713E1
2.984996900E-2,2.096112728E0,-6.173482537E-1,7.235895634E0,7.558636984E0
3.222559400E-2,-1.808973908E0,-2.632105052E-1,1.147119141E1,1.161593297E1
3.460116700E-2,2.876172781E0,-1.076770186E0,9.738788605E0,1.021155264E1
3.697679200E-2,-2.450250387E0,3.684946895E-1,8.863015175E0,9.202855714E0
3.935236400E-2,1.780260086E0,-1.497906923E0,1.235653591E1,1.257366418E1
4.172798900E-2,-7.944171429E-1,1.244267747E-1,6.900900364E0,6.947589974E0
4.410356200E-2,1.914258152E-1,-1.138983607E0,1.352423382E1,1.357346042E1
4.647918700E-2,9.236295223E-1,-3.876372576E-1,6.331408501E0,6.410155048E0
4.885476000E-2,-1.502692580E0,-5.599204898E-1,1.241874981E1,1.252185860E1
5.123038500E-2,2.584248543E0,-7.752745152E-1,8.063812256E0,8.503202879E0
5.360595800E-2,-1.904686809E0,9.571290575E-3,1.078684425E1,1.095371774E1
5.598153100E-2,2.713460922E0,-1.406979680E0,1.044227791E1,1.088042416E1
5.835715600E-2,-1.995614052E0,4.402793646E-1,8.140382767E0,8.392982363E0
6.073278100E-2,1.301695466E0,-1.555334687E0,1.297867012E1,1.313618495E1
6.310830200E-2,1.004985496E-1,-6.699903309E-2,6.628118515E0,6.629218949E0
6.548392700E-2,-1.962114573E-1,-1.071984529E0,1.315573883E1,1.320079975E1
6.785955200E-2,1.684547186E0,-5.072783828E-1,6.747759819E0,6.973327266E0
7.023512500E-2,-1.545763373E0,-4.977070987E-1,1.194497108E1,1.205485093E1
7.261075000E-2,3.043670416E0,-1.043270707E0,8.867800713E0,9.433463460E0
7.498627100E-2,-1.885544300E0,2.536391914E-1,9.958928108E0,1.013902654E1
7.736194800E-2,2.589034081E0,-1.631905079E0,1.138983536E1,1.179383573E1
7.973752100E-2,-1.148554921E0,2.488535494E-1,7.475177765E0,7.566993400E0
8.211314600E-2,1.000199914E0,-1.483550072E0,1.336152172E1,1.348078571E1
8.448871900E-2,8.997012973E-1,-2.297109663E-1,6.565905571E0,6.631240119E0
8.686434400E-2,-6.029912829E-1,-9.810572863E-1,1.272503090E1,1.277702952E1
8.923991700E-2,2.455035925E0,-6.508477330E-1,7.345965385E0,7.772645084E0
9.161554200E-2,-1.454836130E0,-3.014956415E-1,1.136112213E1,1.145785948E1
9.399111400E-2,3.306880951E0,-1.301695466E0,9.791430473E0,1.041642853E1
9.636673900E-2,-1.923829436E0,3.397808075E-1,8.896514893E0,9.108487686E0
9.874231200E-2,2.091326952E0,-1.617548108E0,1.240917778E1,1.268770284E1
1.011178850E-1,-4.211367965E-1,3.828516230E-2,6.910471916E0,6.923398303E0
1.034935100E-1,4.689932466E-1,-1.220339537E0,1.349073410E1,1.355393263E1
1.058691350E-1,1.349551916E0,-4.785645306E-1,6.561119556E0,6.715549435E0
1.082447080E-1,-1.258624673E0,-6.795616150E-1,1.232303619E1,1.240577128E1
1.106203330E-1,2.660818815E0,-8.757730722E-1,8.092526436E0,8.563639376E0
1.129959060E-1,-1.732403636E0,-1.004985496E-1,1.080120182E1,1.093971129E1
1.153715310E-1,2.857030153E0,-1.526620865E0,1.049491978E1,1.098346638E1
1.177471040E-1,-1.909472466E0,3.158525825E-1,8.269595146E0,8.493059039E0
1.201227290E-1,1.158126116E0,-1.569691658E0,1.291167068E1,1.305819390E1
1.224983020E-1,1.914258115E-2,-1.770688742E-1,6.723831654E0,6.726190001E0
1.248738750E-1,-3.206382394E-1,-1.095912814E0,1.326580906E1,1.331486101E1
1.272495000E-1,1.603191137E0,-6.939185858E-1,6.819544315E0,7.039739306E0
1.296250730E-1,-1.842473388E0,-5.407779217E-1,1.190190029E1,1.205580273E1
1.320006980E-1,2.727817774E0,-1.162911773E0,8.858229637E0,9.341391005E0
1.343762710E-1,-2.100898266E0,2.057827413E-1,9.939785004E0,1.016146869E1
1.367518960E-1,2.277967215E0,-1.751546144E0,1.146162033E1,1.181633569E1
1.391274690E-1,-1.459621787E0,3.637090325E-1,7.451249599E0,7.601572246E0
1.415030940E-1,5.072783828E-1,-1.521835208E0,1.336152172E1,1.345747289E1
1.438786670E-1,6.460621357E-1,-3.062812984E-1,6.647261143E0,6.685602831E0
1.462542920E-1,-1.038485050E0,-9.810572863E-1,1.272024536E1,1.280021745E1
1.486298640E-1,2.100898266E0,-7.226324677E-1,7.499105930E0,7.821288958E0
1.510054370E-1,-1.852044702E0,-2.488535494E-1,1.117448139E1,1.132965278E1
1.533810620E-1,2.938386202E0,-1.411765337E0,9.810572624E0,1.033801384E1
1.557566870E-1,-2.033899307E0,2.967100143E-1,8.829515457E0,9.065601273E0
1.581322600E-1,1.722832322E0,-1.617548108E0,1.246182060E1,1.268391051E1
1.605078850E-1,-5.886343718E-1,3.349951655E-2,6.843472958E0,6.868823390E0
1.628834060E-1,1.579262912E-1,-1.253839016E0,1.337587833E1,1.343544470E1
1.652590830E-1,1.368694544E0,-4.546363056E-1,6.809973240E0,6.961016769E0
1.676346560E-1,-1.344766378E0,-6.891329288E-1,1.216989613E1,1.226334671E1
1.700102810E-1,2.689532757E0,-8.470591903E-1,8.121239662E0,8.596838336E0
1.723858540E-1,-1.708475351E0,-2.871387079E-2,1.045184898E1,1.059060242E1
1.747614790E-1,2.995813847E0,-1.512263894E0,1.081555843E1,1.132422831E1
1.771370520E-1,-1.540977836E0,3.206382394E-1,7.987242222E0,8.140851300E0
1.795126770E-1,1.205982566E0,-1.497906923E0,1.307438278E1,1.321505218E1
1.818882500E-1,3.972085714E-1,-1.770688742E-1,6.642475605E0,6.656696643E0
1.842638230E-1,-7.657032460E-2,-1.071984529E0,1.324188042E1,1.328542099E1
1.866394480E-1,2.038684845E0,-6.795616150E-1,7.054041386E0,7.374112811E0
1.890150210E-1,-1.545763373E0,-4.115654826E-1,1.167218876E1,1.178128860E1
1.913906460E-1,3.077169895E0,-1.167697430E0,9.044869423E0,9.625079466E0
1.937662190E-1,-1.631905079E0,1.339980662E-1,9.705288887E0,9.842443906E0
1.961418440E-1,2.574677229E0,-1.775474429E0,1.163390350E1,1.204694912E1
1.985174170E-1,-9.906286001E-1,3.972085714E-1,7.393822193E0,7.470456900E0
2.008930420E-1,5.790630579E-1,-1.454836130E0,1.334237862E1,1.343394690E1
2.032686140E-1,1.115055323E0,-3.732803464E-1,6.738188744E0,6.840020039E0
2.056442390E-1,-7.944171429E-1,-9.188438654E-1,1.264367485E1,1.270188515E1
2.080198120E-1,2.340180635E0,-7.417750359E-1,7.700103283E0,8.081971676E0
2.103954370E-1,-1.789831281E0,-1.962114573E-1,1.097348499E1,1.112022337E1
2.127710100E-1,3.000599623E0,-1.497906923E0,9.968499184E0,1.051752344E1
2.151466350E-1,-1.828116536E0,3.110669553E-1,8.786444664E0,8.979999029E0
2.175222080E-1,1.622333765E0,-1.665404558E0,1.261974621E1,1.283212896E1
2.198978330E-1,-5.216353536E-1,8.614161611E-2,6.795616150E0,6.816151603E0
2.222734060E-1,-1.962114573E-1,-1.363908887E0,1.339023590E1,1.346094959E1
2.246490310E-1,1.416550994E0,-4.737788737E-1,7.025327206E0,7.182360718E0
2.270246040E-1,-1.603191137E0,-6.508477330E-1,1.212203979E1,1.224490398E1
2.294002290E-1,2.483749866E0,-9.619147182E-1,8.432307243E0,8.842968889E0
2.317758020E-1,-2.086541414E0,2.871387079E-2,1.015035343E1,1.036263260E1
2.341514270E-1,2.651247501E0,-1.569691658E0,1.109791183E1,1.151766870E1
2.365270000E-1,-1.756331801E0,3.732803464E-1,7.738388538E0,7.943972355E0
2.389026250E-1,6.652047038E-1,-1.430907965E0,1.328495121E1,1.337833785E1
2.412781980E-1,1.483550072E-1,-1.387837082E-1,6.494120598E0,6.497297320E0
2.436537710E-1,-6.317051649E-1,-1.000199914E0,1.323230934E1,1.328508418E1
2.460293960E-1,1.861616015E0,-5.790630579E-1,7.312466145E0,7.567898607E0
2.484049690E-1,-1.938186288E0,-2.009970993E-1,1.143769264E1,1.160249020E1
2.507805940E-1,2.679961443E0,-1.091127157E0,9.193224907E0,9.637849138E0
2.531561670E-1,-1.895115495E0,2.871387303E-1,9.360722542E0,9.554948346E0
2.555317920E-1,2.254039049E0,-1.603191137E0,1.196889877E1,1.228435801E1
2.579073640E-1,-9.906286001E-1,4.450650215E-1,7.077969551E0,7.160801691E0
2.602829890E-1,1.339980662E-1,-1.239482164E0,1.335195065E1,1.341002825E1
2.626585620E-1,1.095912814E0,-2.105683982E-1,6.719046116E0,6.811089829E0
2.650341870E-1,-8.901300430E-1,-7.561319470E-1,1.255753326E1,1.261172901E1
2.674097600E-1,2.522035122E0,-5.838487148E-1,7.977670670E0,8.387178893E0
2.697853850E-1,-1.842473388E0,2.871387079E-2,1.041835022E1,1.058005454E1
2.721609580E-1,3.034099102E0,-1.354337573E0,1.020299530E1,1.073038213E1
2.745365830E-1,-1.426122308E0,5.407779217E-1,8.413164139E0,8.550298031E0
2.769121560E-1,1.655833244E0,-1.507478237E0,1.271067429E1,1.290641372E1
2.792877810E-1,-3.828516230E-2,3.302095234E-1,6.604190350E0,6.612551267E0
2.816633540E-1,-2.009970993E-1,-1.110269666E0,1.326580906E1,1.331370679E1
2.840389790E-1,1.928615093E0,-3.302095234E-1,7.259823799E0,7.518885296E0
2.864145520E-1,-1.330409408E0,-5.216353536E-1,1.185882950E1,1.194461928E1
2.887901770E-1,2.809173822E0,-7.992027402E-1,8.685946465E0,9.163833727E0
2.911657500E-1,-1.847259045E0,2.105683982E-1,9.729216576E0,9.905269315E0
2.935413230E-1,2.818745136E0,-1.641476393E0,1.127498055E1,1.173733169E1
2.959169480E-1,-1.067198873E0,4.354937077E-1,7.575676441E0,7.662861198E0
2.982925730E-1,7.226324677E-1,-1.330409408E0,1.327538013E1,1.336143348E1
3.006681460E-1,5.694918036E-1,-1.244267747E-1,6.494120598E0,6.520230462E0
3.030437190E-1,-6.604190469E-1,-1.004985452E0,1.295952702E1,1.301520225E1
3.054193440E-1,2.277967215E0,-5.742774606E-1,7.767102242E0,8.114604517E0
3.077949690E-1,-1.799402595E0,-2.153540403E-1,1.100219822E1,1.115045258E1
3.101705420E-1,2.732603550E0,-1.172483087E0,9.466006279E0,9.922051886E0
3.125461140E-1,-1.861616015E0,2.153540403E-1,8.839086533E0,9.035565410E0
3.149217390E-1,2.115255117E0,-1.646261930E0,1.234696484E1,1.263455671E1
3.172973120E-1,-6.795616150E-1,3.110669553E-1,6.766902447E0,6.808049307E0
3.196729370E-1,-3.206382394E-1,-1.210768223E0,1.345723438E1,1.351539588E1
3.220485620E-1,1.186840057E0,-3.158525825E-1,6.728617191E0,6.839783731E0
3.244241350E-1,-1.225125194E0,-7.992027402E-1,1.256231880E1,1.264719378E1
3.267997080E-1,2.378465652E0,-7.417750359E-1,8.274380684E0,8.641336978E0
3.291753330E-1,-2.182254314E0,6.221338734E-2,1.015513897E1,1.038715321E1
3.315509060E-1,2.641676188E0,-1.517049551E0,1.051406288E1,1.094647937E1
3.339264790E-1,-1.545763373E0,3.828516304E-1,8.135597229E0,8.289988061E0
3.363021040E-1,1.091127157E0,-1.598405480E0,1.297867012E1,1.312216966E1
