"event","experiment time","system time","system time text"
"START",0.000000000E0,1771951081.698,"2026-02-24 17:38:01.698 UTC+01:00"
"PAUSE",3.000580957E1,1771951111.704,"2026-02-24 17:38:31.704 UTC+01:00"
