"event","experiment time","system time","system time text"
"START",0.000000000E0,1771950945.548,"2026-02-24 17:35:45.548 UTC+01:00"
"PAUSE",3.001210764E1,1771950975.560,"2026-02-24 17:36:15.560 UTC+01:00"
