"event","experiment time","system time","system time text"
"START",0.000000000E0,1771951384.010,"2026-02-24 17:43:04.010 UTC+01:00"
"PAUSE",3.001581624E1,1771951414.025,"2026-02-24 17:43:34.025 UTC+01:00"
