"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.808493000E-3,3.857230186E0,-6.843472719E-1,9.456435204E0,1.023575706E1
7.183962000E-3,-5.149354458E0,3.110669553E-1,9.265008926E0,1.060438609E1
9.559431000E-3,3.421736479E0,-9.906286001E-1,1.106919765E1,1.162827426E1
1.193536800E-2,-1.875972986E0,-4.642075896E-1,8.336593628E0,8.557660700E0
1.431099300E-2,-2.780459881E0,-1.914258152E-1,1.118405342E1,1.152608572E1
1.668656600E-2,4.857429981E0,-2.823530734E-1,1.023649502E1,1.133402751E1
1.906213900E-2,-5.245067120E0,-5.264209956E-2,8.628518105E0,1.009776336E1
2.143771200E-2,1.607976794E0,-1.019342422E0,1.130848026E1,1.146762287E1
2.381328500E-2,1.363908887E0,-5.551348329E-1,8.805587769E0,8.927866379E0
2.618885800E-2,-4.350151539E0,2.967100143E-1,1.002114105E1,1.092863776E1
2.856443100E-2,4.264009953E0,-3.062812984E-1,1.087777138E1,1.168766441E1
3.094005600E-2,-4.201796532E0,-4.546363056E-1,8.063812256E0,9.104221898E0
3.331562900E-2,-6.556333899E-1,-5.407779217E-1,1.160997581E1,1.164104095E1
3.569120200E-2,4.149154663E0,-4.881358147E-1,9.633503914E0,1.050038850E1
3.806677500E-2,-5.316852093E0,1.435693651E-1,8.997013092E0,1.045159188E1
4.044234800E-2,3.144168854E0,-7.034898400E-1,1.118405342E1,1.163888941E1
4.281792000E-2,-1.679761529E0,-4.067798555E-1,8.288737297E0,8.467008600E0
4.519349300E-2,-2.646461725E0,-3.349951655E-2,1.117448139E1,1.148363689E1
4.756906600E-2,4.795216560E0,-3.397808075E-1,1.016949654E1,1.124847601E1
4.994469100E-2,-5.192425251E0,-3.062812984E-1,8.484949112E0,9.952358999E0
5.232026400E-2,1.584048629E0,-5.503492355E-1,1.160040379E1,1.172098385E1
5.469583700E-2,1.746760488E0,-5.551348329E-1,8.762516975E0,8.952153407E0
5.707141000E-2,-4.555934429E0,2.344966233E-1,9.829715729E0,1.083673560E1
5.944698300E-2,4.096512318E0,-7.752745152E-1,1.066720295E1,1.145302067E1
6.182255600E-2,-3.780659676E0,-4.067798555E-1,8.456234932E0,9.271826501E0
6.419812900E-2,-4.689932466E-1,-3.254238665E-1,1.180618668E1,1.181997882E1
6.657375400E-2,4.192225456E0,-3.493520916E-1,9.317651749E0,1.022327909E1
6.894932700E-2,-5.498706341E0,9.092725813E-2,8.973084450E0,1.052427117E1
7.132490000E-2,3.096312523E0,-1.062413216E0,1.116012478E1,1.163031634E1
7.370047300E-2,-1.186840057E0,-5.168496966E-1,8.633303642E0,8.729814128E0
7.607604500E-2,-2.670390129E0,3.349951655E-2,1.092084217E1,1.124263756E1
7.845161800E-2,4.579862595E0,-4.354937077E-1,1.017906761E1,1.117041689E1
8.082713900E-2,-5.288137913E0,-4.977070987E-1,8.422736168E0,9.957640257E0
8.320271200E-2,1.703689694E0,-5.599204898E-1,1.197846985E1,1.211196968E1
8.557838900E-2,2.287538528E0,-5.024927258E-1,8.642875671E0,8.954587167E0
8.795396200E-2,-4.814359188E0,7.178468257E-2,9.623932838E0,1.076119374E1
9.032953500E-2,3.881158352E0,-1.048056364E0,1.093041420E1,1.164627695E1
9.270510800E-2,-3.402593851E0,-3.828516304E-1,8.614161491E0,9.269735621E0
9.508068100E-2,-3.062812984E-1,-3.493520916E-1,1.170568848E1,1.171490494E1
9.745625400E-2,4.134797573E0,-4.307080805E-1,9.418149948E0,1.029483409E1
9.983182700E-2,-5.632704735E0,-1.722832322E-1,8.934800148E0,1.056350784E1
1.022074520E-1,3.206382275E0,-8.374879360E-1,1.146162033E1,1.193109442E1
1.045830250E-1,-5.216353536E-1,-6.652047038E-1,8.441878319E0,8.484097494E0
1.069585980E-1,-2.947957516E0,-3.349951655E-2,1.089212894E1,1.128406171E1
1.093341700E-1,4.378865242E0,-8.662018180E-1,1.006899738E1,1.101405805E1
1.117096910E-1,-4.905286312E0,-4.115654826E-1,8.834300995E0,1.011316439E1
1.140853160E-1,1.727617979E0,-5.120640397E-1,1.205025482E1,1.218423222E1
1.164608890E-1,2.627319336E0,-4.115654826E-1,8.647661209E0,9.047333167E0
1.188365140E-1,-5.010570526E0,1.052841991E-1,9.585647583E0,1.081672507E1
1.212120870E-1,3.929014683E0,-1.239482164E0,1.089691448E1,1.164973037E1
1.235876600E-1,-2.981456995E0,-5.120640397E-1,8.901300430E0,9.401300162E0
1.259632330E-1,-4.115654826E-1,-2.057827413E-1,1.152861977E1,1.153779903E1
1.283388060E-1,4.086941242E0,-4.689932466E-1,9.513862610E0,1.036516402E1
1.307143790E-1,-5.771488190E0,-2.775674164E-1,8.729017258E0,1.046818331E1
1.330899520E-1,3.086741209E0,-8.518448472E-1,1.167697430E1,1.210806920E1
1.354655250E-1,1.818545163E-1,-5.503492355E-1,8.719446182E0,8.738689666E0
1.378411500E-1,-3.426522017E0,-2.297109663E-1,1.047099209E1,1.101977747E1
1.402167230E-1,4.268795490E0,-9.092726111E-1,1.040877819E1,1.128680890E1
1.425922950E-1,-4.804787636E0,-3.397808075E-1,8.819944382E0,1.004952009E1
1.449678680E-1,1.598405480E0,-4.354937077E-1,1.202154064E1,1.213515530E1
1.473434410E-1,2.665604353E0,-4.642075896E-1,8.714659691E0,9.125033084E0
1.497190140E-1,-5.288137913E0,3.828516230E-2,9.399007797E0,1.078458232E1
1.520945870E-1,3.737588882E0,-1.143769264E0,1.115055370E1,1.181577872E1
1.544702120E-1,-2.493321180E0,-5.264210105E-1,8.891729355E0,9.249682184E0
1.568457850E-1,-1.038485050E0,-1.866401732E-1,1.136590767E1,1.141477739E1
1.592213580E-1,4.039084435E0,-6.173482537E-1,9.561718941E0,1.039816287E1
1.615969310E-1,-5.675775528E0,-3.780659735E-1,8.781659126E0,1.046302531E1
1.639725040E-1,3.053241730E0,-6.939185858E-1,1.199282742E1,1.239482624E1
1.663480770E-1,4.163511395E-1,-3.349951804E-1,8.408378601E0,8.425342767E0
1.687236500E-1,-3.967299938E0,-7.178468257E-2,1.025563812E1,1.099648740E1
1.710992230E-1,4.125226021E0,-1.129412293E0,1.046142101E1,1.130196405E1
1.734748480E-1,-4.340580463E0,-3.684946895E-1,9.049654961E0,1.004353932E1
1.758504200E-1,1.383051515E0,-3.397808075E-1,1.174875927E1,1.183476349E1
1.782259930E-1,2.842673302E0,-4.546363056E-1,8.757730484E0,9.218748771E0
1.806015660E-1,-5.651846886E0,-2.153540403E-1,9.174081802E0,1.077745459E1
1.829771390E-1,3.809373617E0,-8.374879360E-1,1.153819084E1,1.217959611E1
1.853527120E-1,-1.684547186E0,-3.972085714E-1,8.638090134E0,8.809771565E0
1.877283370E-1,-1.780260086E0,-3.732803464E-1,1.090648556E1,1.105712853E1
1.901039100E-1,4.010370731E0,-7.800601721E-1,9.801001549E0,1.061843673E1
1.924794830E-1,-5.316852093E0,-1.292124242E-1,8.963513374E0,1.042258049E1
1.948550560E-1,3.096312523E0,-5.647061467E-1,1.178704453E1,1.220001897E1
1.972306290E-1,8.039883971E-1,-4.019941986E-1,8.264809608E0,8.313547651E0
1.996062020E-1,-4.354937077E0,-3.493520916E-1,1.002592659E1,1.093648608E1
2.019817750E-1,4.321437836E0,-7.561319470E-1,1.092562866E1,1.177352633E1
2.043573480E-1,-3.637090445E0,-2.488535494E-1,8.872586250E0,9.592348084E0
2.067329730E-1,8.901300430E-1,-4.115654826E-1,1.146640587E1,1.150826578E1
2.091085450E-1,3.014956474E0,-8.662018180E-1,9.025727272E0,9.555313753E0
2.114841180E-1,-5.388636589E0,-9.092725813E-2,9.255437851E0,1.071021951E1
2.138596910E-1,4.067798615E0,-7.226324677E-1,1.148076344E1,1.220152090E1
2.162352640E-1,-1.287338614E0,-2.775674164E-1,8.542376518E0,8.643291095E0
2.186108370E-1,-2.344966173E0,-5.647061467E-1,1.075334454E1,1.102053438E1
2.209864100E-1,4.354937077E0,-8.279166222E-1,1.008814049E1,1.101914250E1
2.233619830E-1,-4.823930264E0,-1.339980662E-1,9.131011009E0,1.032780813E1
2.257376080E-1,2.914458036E0,-5.455635786E-1,1.163390350E1,1.200580759E1
