"event","experiment time","system time","system time text"
"START",0.000000000E0,1771950994.027,"2026-02-24 17:36:34.027 UTC+01:00"
"PAUSE",3.001376108E1,1771951024.040,"2026-02-24 17:37:04.040 UTC+01:00"
