Run,File,Sampling rate fs (Hz),Nyquist (Hz),Duration (s),Dominant peak (Hz),RPM from observed peak,RPM if aliased (fs - peak),RMS (bandpassed),Peak abs (bandpassed),Peak-to-peak (bandpassed),Crest factor,Kurtosis (Pearson),Skewness,Energy 10–50Hz (PSD area),Energy 50–100Hz (PSD area),Energy 100–200Hz (PSD area),Energy 10–200Hz total
Run A,Raw Data Speed 1.csv,420.96046339340245,210.48023169670122,30.005193119991134,182.68724353409058,10961.234612045435,14296.393191558713,0.9117472160546056,2.229500510985802,4.243199055682549,2.4453055317607624,1.5498245985596626,-0.012040085137029647,0.0033036234215826745,0.007119047195854425,0.8165350187629982,0.830921394629577
Run B,Raw Data Speed 2.csv,420.960286185672,210.480143092836,29.99332814599779,161.25642704364418,9675.38562261865,15582.231548521668,2.4217613794491633,5.169525652040201,9.749079240254922,2.134613961519208,1.668804232942055,-0.07189944066473586,0.005635851823826651,0.1719849983557429,5.683098333116527,5.934673332935278
