"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.022276500E-2,-6.431907177E0,2.105683982E-1,8.958727837E0,1.103052915E1
1.259823400E-2,3.507878065E0,-3.828516304E-1,1.220818138E1,1.270792967E1
1.497370200E-2,-1.359123230E0,3.493520916E-1,7.958528042E0,8.081301345E0
1.734953600E-2,-1.799402595E0,-1.148554832E-1,1.121276665E1,1.135681194E1
1.972510900E-2,3.909872293E0,-2.392822653E-1,8.791230202E0,9.624452494E0
2.210063000E-2,-6.599404812E0,1.004985496E-1,9.351150513E0,1.144579660E1
2.447620200E-2,5.111069202E0,1.100698411E-1,1.204068375E1,1.308102476E1
2.685172300E-2,-3.105883837E0,6.939185858E-1,7.738388538E0,8.367239364E0
2.922729600E-2,-7.561319470E-1,-8.709874153E-1,1.126540947E1,1.132430153E1
3.160281700E-2,3.201596737E0,-2.153540403E-1,8.724231720E0,9.295634359E0
3.397833800E-2,-5.450850010E0,1.004985452E0,1.081077290E1,1.214885065E1
3.635391100E-2,5.101497650E0,-3.589234054E-1,1.001156998E1,1.124213670E1
3.872943200E-2,-4.340580463E0,1.722832322E-1,8.561519623E0,9.600517617E0
4.110500500E-2,8.231309652E-1,-2.105683982E-1,1.210768223E1,1.213745659E1
4.348052500E-2,1.952543259E0,7.657032460E-2,7.905886173E0,8.143790541E0
4.585609800E-2,-4.651647091E0,2.009970993E-1,1.074377346E1,1.170926508E1
4.823161900E-2,5.173282623E0,-3.349951804E-1,1.002114105E1,1.128265673E1
5.060719200E-2,-5.312066078E0,6.029912829E-1,8.752944946E0,1.025649500E1
5.298271300E-2,2.464607239E0,-2.488535494E-1,1.204068375E1,1.229285492E1
5.535828600E-2,5.934200287E-1,3.732803464E-1,7.987242222E0,8.017950103E0
5.773380700E-2,-3.469592810E0,2.057827413E-1,1.083948612E1,1.138309625E1
6.010938000E-2,4.910071850E0,-4.067798555E-1,9.255437851E0,1.048510397E1
6.248490000E-2,-5.986842155E0,4.019941986E-1,9.212367058E0,1.099416141E1
6.486047300E-2,4.445864677E0,-5.742774159E-2,1.236610699E1,1.314114199E1
6.723599400E-2,-1.483550072E0,7.274180651E-1,7.451249599E0,7.632245964E0
6.961156700E-2,-2.502892494E0,-8.901300430E-1,1.117926693E1,1.149055314E1
7.198708800E-2,4.886143684E0,-2.201396823E-1,9.303294182E0,1.051066811E1
7.436260900E-2,-5.642275810E0,1.349551916E0,1.011685371E1,1.166221659E1
7.673818200E-2,4.383651257E0,-8.279166222E-1,1.027956581E1,1.120586086E1
7.911370200E-2,-3.091526747E0,2.871387079E-2,8.666803360E0,9.201730413E0
8.148927500E-2,-5.264210105E-1,-5.742774159E-2,1.226560879E1,1.227703449E1
8.386479600E-2,3.665804386E0,3.349951655E-2,8.240880966E0,9.019499050E0
8.624036900E-2,-5.661418438E0,5.886343718E-1,1.026042366E1,1.173347531E1
8.861589000E-2,4.685146809E0,-7.752745152E-1,1.039920712E1,1.143219838E1
9.099146300E-2,-4.316651821E0,2.440679073E-1,8.642875671E0,9.663971852E0
9.336698400E-2,1.115055323E0,-2.967100143E-1,1.229432297E1,1.234835060E1
9.574250500E-2,2.249253273E0,4.546363056E-1,8.173882484E0,8.489887474E0
9.811807700E-2,-5.359922886E0,-4.594219327E-1,1.026999474E1,1.159364627E1
1.004936500E-1,5.000999451E0,-2.201396823E-1,1.027956581E1,1.143363154E1
1.028691710E-1,-5.412564754E0,5.072783828E-1,8.882157326E0,1.041373647E1
1.052447440E-1,2.971885681E0,-5.742774606E-1,1.209332561E1,1.246637171E1
1.076202650E-1,-2.871387303E-1,1.531406492E-1,7.982456207E0,7.989086794E0
1.099958380E-1,-4.383651257E0,-5.647061467E-1,1.110269737E1,1.195011215E1
1.123713070E-1,5.139782906E0,-1.483550072E-1,9.652647018E0,1.093677155E1
1.147469320E-1,-5.857629776E0,6.317051649E-1,9.533005714E0,1.120665320E1
1.171224520E-1,3.775874138E0,-3.637090325E-1,1.146640587E1,1.207758143E1
1.194979730E-1,-2.378465652E0,1.100698411E-1,7.700103283E0,8.059826598E0
1.218735460E-1,-2.880958557E0,-8.709874153E-1,1.147597694E1,1.186408817E1
1.242490670E-1,4.953142643E0,-3.158525825E-1,9.848857880E0,1.102875271E1
