"event","experiment time","system time","system time text"
"START",0.000000000E0,1771951242.241,"2026-02-24 17:40:42.241 UTC+01:00"
"PAUSE",3.001167551E1,1771951272.253,"2026-02-24 17:41:12.253 UTC+01:00"
